[25.11.2022 19:26:45][serveritem][give] sst4nk0 obtained 1 of tool_axe_stone (§fКаменный топор)
[25.11.2022 19:26:53][serveritem][give] sst4nk0 obtained 1 of resource_log_oak (§7Дубовое бревно)
[25.11.2022 19:27:02][serveritem][give] sst4nk0 obtained 2 of resource_log_oak (§7Дубовое бревно)
[25.11.2022 19:27:08][serveritem][give] sst4nk0 obtained 2 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:27:17][serveritem][give] sst4nk0 obtained 2 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:27:26][serveritem][give] sst4nk0 obtained 1 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:27:30][serveritem][give] sst4nk0 obtained 3 of resource_log_oak (§7Дубовое бревно)
[25.11.2022 19:27:37][serveritem][give] sst4nk0 obtained 1 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:27:47][serveritem][give] sst4nk0 obtained 1 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:27:53][serveritem][give] sst4nk0 obtained 2 of resource_log_oak (§7Дубовое бревно)
[25.11.2022 19:28:45][serveritem][give] sst4nk0 obtained 1 of rune_1_3of3 (§aРуна [§fтворiтель сѥ§a])
[25.11.2022 19:30:36][serveritem][give] sst4nk0 obtained 2 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:30:43][serveritem][give] sst4nk0 obtained 1 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:30:47][serveritem][give] sst4nk0 obtained 3 of resource_log_oak (§7Дубовое бревно)
[25.11.2022 19:30:56][serveritem][give] sst4nk0 obtained 1 of resource_log_spruce (§7Хвойное бревно)
[25.11.2022 19:31:02][serveritem][give] sst4nk0 obtained 3 of resource_log_oak (§7Дубовое бревно)
[25.11.2022 19:31:38][serveritem][give] sst4nk0 obtained 2 of resource_log_spruce (§7Хвойное бревно)
